"price","bed","bath","acre_lot","city","state","zip_code","house_size"
444900,"2","1",0.24,"Revere","Massachusetts",2151,814
449900,"2","1",0.24,"Revere","Massachusetts",2151,847
439900,"2","1",0.24,"Revere","Massachusetts",2151,773
449900,"2","1",0.24,"Revere","Massachusetts",2151,838
419900,"1","1",0.24,"Revere","Massachusetts",2151,871
499000,"3","2",0.25,"Dedham","Massachusetts",2026,1192
400000,"2","1",0.02,"Boston","Massachusetts",2119,744
649000,"3","2",0.23,"Boston","Massachusetts",2125,1343
1100000,"2","2",0.03,"Boston","Massachusetts",2118,1173
595000,"3","1",0.18,"Boston","Massachusetts",2136,1326
825000,"5","3",0.26,"Malden","Massachusetts",2148,2180
499000,"2","1",0.01,"Boston","Massachusetts",2127,639
699000,"1","1",0.01,"Boston","Massachusetts",2108,600
529900,"3","2",0.26,"Saugus","Massachusetts",1906,1470
880000,"6","3",0.08,"Revere","Massachusetts",2151,4337
1299000,"5","4",0.17,"Boston","Massachusetts",2124,3472
819000,"5","3",0.15,"Revere","Massachusetts",2151,2160
874900,"5","3",0.13,"Malden","Massachusetts",2148,3300
1499000,"5","4",0.35,"Milton","Massachusetts",2186,3137
899000,"2","3",0.07,"Boston","Massachusetts",2128,1554
529000,"2","1",0.02,"Boston","Massachusetts",2135,852
529000,"3","1",0.11,"Saugus","Massachusetts",1906,1622
1150000,"6","2",0.1,"Boston","Massachusetts",2125,2638
899000,"2","3",0.07,"Boston","Massachusetts",2128,1554
525000,"2","2",0.05,"Boston","Massachusetts",2126,1010
545000,"3","3",0.04,"Boston","Massachusetts",2125,1644
509900,"2","2",0.29,"Dedham","Massachusetts",2026,1000
649900,"2","1",0.02,"Boston","Massachusetts",2125,826
780000,"1","1",0.01,"Boston","Massachusetts",2111,585
619900,"2","1",0.02,"Boston","Massachusetts",2127,800
875000,"2","2",0.03,"Boston","Massachusetts",2127,1193
425000,"5","1",0.07,"Boston","Massachusetts",2124,1688
749000,"5","3",0.12,"Boston","Massachusetts",2136,2681
839000,"2","2",0.02,"Boston","Massachusetts",2127,1049
1099000,"2","1",0.03,"Boston","Massachusetts",2109,1183
729000,"3","2",0.09,"Boston","Massachusetts",2136,1612
600000,"3","1",0.02,"Boston","Massachusetts",2127,964
1100000,"5","3",0.04,"Boston","Massachusetts",2128,3016
1599000,"5","3",0.06,"Boston","Massachusetts",2125,2550
1199000,"5","3",0.41,"Dedham","Massachusetts",2026,3602
730000,"6","3",0.1,"Revere","Massachusetts",2151,3104
1150000,"3","3",0.92,"Westwood","Massachusetts",2090,2100
389999,"1","1",0.01,"Boston","Massachusetts",2128,578
1199000,"5","2",0.14,"Milton","Massachusetts",2186,2632
799000,"2","3",0.03,"Boston","Massachusetts",2127,1429
1595000,"2","2",0.03,"Boston","Massachusetts",2118,1496
829000,"3","3",0.36,"Milton","Massachusetts",2186,2464
685000,"2","1",0.02,"Boston","Massachusetts",2127,855
489000,"2","2",0.16,"Saugus","Massachusetts",1906,1207
649900,"3","2",0.48,"Dedham","Massachusetts",2026,1562
749999,"5","2",0.12,"Boston","Massachusetts",2124,2785
529900,"2","1",0.03,"Boston","Massachusetts",2128,1112
679900,"3","2",0.25,"Saugus","Massachusetts",1906,1563
1388000,"4","3",0.45,"Lynnfield","Massachusetts",1940,3794
589900,"4","2",0.03,"Boston","Massachusetts",2128,1351
1490000,"2","2",0.02,"Boston","Massachusetts",2118,1052
459000,"2","1",0.12,"Saugus","Massachusetts",1906,1289
725000,"3","2",0.25,"Dedham","Massachusetts",2026,1906
449000,"2","1",0.02,"Boston","Massachusetts",2125,1079
799900,"5","2",0.36,"Peabody","Massachusetts",1960,2288
1399000,"7","4",0.04,"Boston","Massachusetts",2128,2870
769000,"3","3",0.11,"Chelsea","Massachusetts",2150,1823
839999,"5","2",0.1,"Revere","Massachusetts",2151,2352
1600000,"2","2",0.03,"Boston","Massachusetts",2116,1358
349900,"1","1",0.24,"Revere","Massachusetts",2151,620
500000,"7","2",0.13,"Boston","Massachusetts",2124,2789
450000,"3","1",0.38,"North Reading","Massachusetts",1864,1306
599000,"5","2",0.1,"Chelsea","Massachusetts",2150,1432
589900,"2","1",0.14,"Malden","Massachusetts",2148,2013
689000,"3","2",0.22,"Waltham","Massachusetts",2452,2223
729000,"5","2",0.22,"Saugus","Massachusetts",1906,2112
995000,"2","1",0.03,"Boston","Massachusetts",2116,1273
1599900,"5","2",0.22,"Boston","Massachusetts",2128,2816
1095000,"5","3",0.15,"Waltham","Massachusetts",2453,2524
1250000,"3","3",0.15,"Newton","Massachusetts",2461,2397
1099000,"3","4",0.08,"Waltham","Massachusetts",2451,3000
899900,"2","3",0.55,"Sharon","Massachusetts",2067,1987
1100000,"6","4",0.49,"Randolph","Massachusetts",2368,4038
1575000,"5","4",1.44,"Sharon","Massachusetts",2067,4448
739900,"2","1",0.19,"Milton","Massachusetts",2186,1110
549900,"3","2",0.23,"Stoughton","Massachusetts",2072,1527
624900,"3","2",0.76,"Stoughton","Massachusetts",2072,1612
